,journal,issn,access,notes,university
0,3 BIOTECH,2190-572X,1,,ualberta
1,ACTA ADRIATICA,0001-5113,1,,ualberta
2,ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,0906-4702,1,,ualberta
3,ACTA BOREALIA,0800-3831,1,,ualberta
4,ACTA BOTANICA BRASILICA,0102-3306,1,,ualberta
5,ACTA BOTANICA GALLICA,1253-8078,1,,ualberta
6,ACTA CHIROPTEROLOGICA,1508-1109,1,,ualberta
7,ACTA HERPETOLOGICA,1827-9635,1,,ualberta
8,ACTA ICHTHYOLOGICA ET PISCATORIA,0137-1592,1,,ualberta
9,ACTA OCEANOLOGICA SINICA,0253-505X,1,,ualberta
10,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,1146-609X,1,,ualberta
11,ACTA ORNITHOLOGICA,0001-6454,1,,ualberta
12,ACTA PHYSIOLOGIAE PLANTARUM,0137-5881,1,,ualberta
13,ACTA SCIENTIARUM POLONORUM-TECHNOLOGIA ALIMENTARIA,1644-0730,1,,ualberta
14,ACTA SOCIETATIS BOTANICORUM POLONIAE,0001-6977,1,,ualberta
15,ACTA THERIOLOGICA,0001-7051,0,,ualberta
16,ACTA TROPICA,0001-706X,1,,ualberta
17,ACTA ZOOLOGICA BULGARICA,0324-0770,1,,ualberta
18,ADVANCES IN ATMOSPHERIC SCIENCES,0256-1530,1,,ualberta
19,ADVANCES IN NURSING SCIENCE,0161-9268,1,,ualberta
20,ADVANCES IN SPACE RESEARCH,0273-1177,1,,ualberta
21,ADVANCES IN WATER RESOURCES,0309-1708,1,,ualberta
22,AEOLIAN RESEARCH,1875-9637,1,,ualberta
23,AEROBIOLOGIA,0393-5965,1,,ualberta
24,AFRICAN ENTOMOLOGY,1021-3589,1,,ualberta
25,AFRICAN JOURNAL OF AGRICULTURAL RESEARCH,1991-637X,0,,ualberta
26,AFRICAN JOURNAL OF AQUATIC SCIENCE,1608-5914,1,,ualberta
27,AFRICAN JOURNAL OF BIOTECHNOLOGY,1684-5315,1,,ualberta
28,AFRICAN JOURNAL OF ECOLOGY,0141-6707,1,,ualberta
29,AFRICAN JOURNAL OF MARINE SCIENCE,1814-232X,1,,ualberta
30,AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE,1022-0119,1,,ualberta
31,AFRICAN JOURNAL OF WILDLIFE RESEARCH,2410-7220,1,,ualberta
32,AFRICAN ZOOLOGY,1562-7020,1,,ualberta
33,AGRICULTURAL AND FOOD SCIENCE,1459-6067,1,,ualberta
34,AGRICULTURAL AND FOREST ENTOMOLOGY,1461-9555,1,,ualberta
35,AGRICULTURAL AND FOREST METEOROLOGY,0168-1923,1,,ualberta
36,AGRICULTURAL ECONOMICS,0169-5150,1,,ualberta
37,AGRICULTURAL SCIENCE AND PRACTICE,2312-3370,0,,ualberta
38,AGRICULTURAL SYSTEMS,0308-521X,1,,ualberta
39,AGRICULTURAL WATER MANAGEMENT,0378-3774,1,,ualberta
40,AGRICULTURE AND HUMAN VALUES,0889-048X,1,,ualberta
41,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,0167-8809,1,,ualberta
42,AGROCIENCIA,1405-3195,1,,ualberta
43,AGROECOLOGY AND SUSTAINABLE FOOD SYSTEMS,2168-3565,1,,ualberta
44,AGROFORESTRY SYSTEMS,0167-4366,1,,ualberta
45,AGRONOMIE,0249-5627,1,,ualberta
46,AGRONOMY FOR SUSTAINABLE DEVELOPMENT,1774-0746,1,,ualberta
47,AGRONOMY JOURNAL,0002-1962,1,,ualberta
48,AIMS ENVIRONMENTAL SCIENCE,2372-0344,1,,ualberta
49,AIMS MICROBIOLOGY,2471-1888,1,,ualberta
50,ALPINE BOTANY,1664-2201,1,,ualberta
51,AMBIO,0044-7447,1,,ualberta
52,AMERICAN ANTHROPOLOGIST,0002-7294,1,,ualberta
53,AMERICAN BEHAVIORAL SCIENTIST,0002-7642,1,,ualberta
54,AMERICAN BIOLOGY TEACHER,0002-7685,1,,ualberta
55,AMERICAN FERN JOURNAL,0002-8444,1,,ualberta
56,AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS,0002-9092,1,,ualberta
57,AMERICAN JOURNAL OF BOTANY,0002-9122,1,,ualberta
58,AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY,0091-0562,1,,ualberta
59,AMERICAN JOURNAL OF PHYSIOLOGY-REGULATORY INTEGRATIVE AND COMPARATIVE PHYSIOLOGY,0363-6119,1,,ualberta
60,AMERICAN JOURNAL OF PRIMATOLOGY,0275-2565,1,,ualberta
61,AMERICAN MIDLAND NATURALIST,0003-0031,1,,ualberta
62,AMERICAN NATURALIST,0003-0147,1,,ualberta
63,AMERICAN REVIEW OF CANADIAN STUDIES,0272-2011,1,,ualberta
64,AMERICAN SCIENTIST,0003-0996,1,,ualberta
65,AMFITEATRU ECONOMIC,1582-9146,1,,ualberta
66,ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS,0001-3765,1,,ualberta
67,ANALES DEL JARDIN BOTANICO DE MADRID,0211-1322,1,,ualberta
68,ANALYTICAL METHODS,1759-9660,1,,ualberta
69,ANIMAL,1751-7311,1,,ualberta
70,ANIMAL BEHAVIOUR,0003-3472,1,,ualberta
71,ANIMAL BIODIVERSITY AND CONSERVATION,1578-665X,1,,ualberta
72,ANIMAL BIOLOGY,1570-7555,1,,ualberta
73,ANIMAL CONSERVATION,1367-9430,1,,ualberta
